,name,artist,score
71,Ain't No Mountain High Enough - Mono,3koiLjNrgRTNbOwViDipeA,0.9999999498771851
72,Call It Stormy Monday (But Tuesday Is Just As Bad),6nPKmEbQmR8jGZEm7ArOFX,0.9999999736557357
73,The Sound of Silence,70cRZdQywnSFp9pnc2WTCE,0.9999996871117381
74,Seven Nation Army,4F84IBURUo98rz4r61KF70,0.9999997382342694
75,Since You Been Gone,6SLAMfhOi7UJI0fMztaK0m,0.9999999752666111
76,Bus Stop - Live,6i6WlGzQtXtz7GcC5H5st5,0.9999999745440824
77,Don't Hang Up,6i6WlGzQtXtz7GcC5H5st5,0.9999999753553959
78,Never Gonna Give You Up,0gxyHStUsqpMadRV0Di1Qt,0.9999999989843945
79,End Of The Beginning,5M52tdBnJaKSvOpJGz8mfZ,0.9999999640526477
80,Icky Thump,4F84IBURUo98rz4r61KF70,0.9999999744208832
81,Fell In Love With A Girl,4F84IBURUo98rz4r61KF70,0.9999999287831126
82,The Hardest Button To Button,4F84IBURUo98rz4r61KF70,0.9999999695599623
83,Ball And Biscuit,4F84IBURUo98rz4r61KF70,0.9999999754186194
84,Apple Blossom,4F84IBURUo98rz4r61KF70,0.9999999646329901
85,You Don't Know What Love Is (You Just Do as You're Told),4F84IBURUo98rz4r61KF70,0.9999999648331667
86,300 M.P.H. Torrential Outpour Blues,4F84IBURUo98rz4r61KF70,0.9999999741778719
87,Conquest,4F84IBURUo98rz4r61KF70,0.9999999622647799
88,St. Andrew (This Battle Is In the Air),4F84IBURUo98rz4r61KF70,0.9999999668653622
89,Little Cream Soda,4F84IBURUo98rz4r61KF70,0.9999999819907676
90,Dear Diary,5BcZ22XONcRoLhTbZRuME1,0.9999999973930843
91,King Rat,1yAwtBaoHLEDWAnWR87hBT,0.9999999508148631
92,There's No Home For You Here,4F84IBURUo98rz4r61KF70,0.9999999762234215
93,Gotta Get Up - Remastered,3RTzAwFprBqiskp550eSJX,0.9999999573164058
94,Don't Bring Me Down,7jefIIksOi1EazgRTfW2Pk,0.9999999300181152
95,Black Math,4F84IBURUo98rz4r61KF70,0.999999976076522
96,Little Acorns,4F84IBURUo98rz4r61KF70,0.9999999496752993
97,The Air Near My Fingers,4F84IBURUo98rz4r61KF70,0.9999999762553304
98,A Martyr for My Love for You,4F84IBURUo98rz4r61KF70,0.9999999988724475
99,The Story In Your Eyes,5BcZ22XONcRoLhTbZRuME1,0.9999998762113351
100,One Short Tale: Peace,6DNM2EfbLyKVLhHlvF5Zp4,0.9999999668348392
101,Moanin' - Remastered 1998/Rudy Van Gelder Edition,6QQuESLtKhAOcLW2TeWC2t,0.9999999835869124
102,Song For My Father,5ZATfKurLqflrBhv2FLht5,0.9999999435149672
103,Sway,0K4Pj79XGQRXv1ESJADlMX,0.9999999979250449
104,Mystic Brew,4B5XByhwtjsqGxs91fYMhZ,0.9999999594193781
105,Landmarks,4gjFkHMQ2r46oQ7gsIQaCF,0.9999999948551704
106,The Dream,3qYfqdVwX0fil71onLpLkh,0.9999999691357926
107,The Denial Twist,4F84IBURUo98rz4r61KF70,0.999999970497815
108,Instinct Blues,4F84IBURUo98rz4r61KF70,0.9999999724254133
109,"Take, Take, Take",4F84IBURUo98rz4r61KF70,0.999999971035912
110,Red Rain,4F84IBURUo98rz4r61KF70,0.9999999774350712
111,Dead Leaves And The Dirty Ground,4F84IBURUo98rz4r61KF70,0.9999955053775673
112,Little Room,4F84IBURUo98rz4r61KF70,0.9999999704591109
113,The Union Forever,4F84IBURUo98rz4r61KF70,0.9999999768875807
114,The Same Boy You've Always Known,4F84IBURUo98rz4r61KF70,0.999999977070648
115,Offend In Every Way,4F84IBURUo98rz4r61KF70,0.99999978880733
116,You're Pretty Good Looking (For a Girl),4F84IBURUo98rz4r61KF70,0.9999999942101595
117,Sweet Talkin' Woman,7jefIIksOi1EazgRTfW2Pk,0.999999977259306
118,TEMPTATION,2P5sC9cVZDToPxyomzF1UH,0.9999999850775085
119,The Whale Song,1yAwtBaoHLEDWAnWR87hBT,0.9999999994064157
120,It's Over,7jefIIksOi1EazgRTfW2Pk,0.9999999985103848
121,Night in the City,7jefIIksOi1EazgRTfW2Pk,0.9999999905419573
122,Starlight,7jefIIksOi1EazgRTfW2Pk,0.9999999991934401
123,Jungle,7jefIIksOi1EazgRTfW2Pk,0.999999997612071
124,Steppin' Out,7jefIIksOi1EazgRTfW2Pk,0.9999999604641973
125,Big Wheels,7jefIIksOi1EazgRTfW2Pk,0.9999999720515034
